major,major,major pentatonic,minor blues,bebop major,mixolydian,lydian,mixolydian pentatonic,,,,,,,
minor,dorian,aeolian,minor pentatonic,phrygian,minor blues,melodic minor,harmonic minor,bebop minor,,,,,,
∆,major,major pentatonic,bebop major,lydian,,,,,,,,,,
∆#4,lydian,major pentatonic,,,,,,,,,,,,
∆#4#5,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
∆#5#4,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
∆+4,lydian,major pentatonic,,,,,,,,,,,,
∆+4+5,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
∆+5+4,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
∆+5+4,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
∆13,major,major pentatonic,bebop major,lydian,,,,,,,,,,
∆7,major,major pentatonic,bebop major,lydian,,,,,,,,,,
∆7#11,lydian,major pentatonic,,,,,,,,,,,,
∆7#4,lydian,major pentatonic,,,,,,,,,,,,
∆7#4#5,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
∆7#5,lydian augmented,,,,,,,,,,,,,
∆7#5#4,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
∆7+4,lydian,major pentatonic,,,,,,,,,,,,
∆7+4+5,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
∆7add2,major,major pentatonic,bebop major,lydian,,,,,,,,,,
∆7add4,major,major pentatonic,,,,,,,,,,,,
∆7add6,major,major pentatonic,,,,,,,,,,,,
∆7b6,harmonic minor,,,,,,,,,,,,,
∆9,major,major pentatonic,bebop major,lydian,,,,,,,,,,
∆9#11,lydian,major pentatonic,,,,,,,,,,,,
∆b6,harmonic minor,,,,,,,,,,,,,
+,altered,whole tone,,,,,,,,,,,,
+11,ionian augmented,bebop major,six tone symmetric,,,,,,,,,,,
+13,lydian augmented,,,,,,,,,,,,,
+7,whole tone,altered,,,,,,,,,,,,
+9,whole tone,,,,,,,,,,,,,
+M11,harmonic major,double harmonic major,,,,,,,,,,,,
+M13,lydian augmented,,,,,,,,,,,,,
+M9,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
+maj7,lydian augmented,lydian #5 pentatonic,,,,,,,,,,,,
−,dorian,aeolian,minor pentatonic,phrygian,minor blues,melodic minor,harmonic minor,bebop minor,,,,,,
−#5,harmonic minor,aeolian,,,,,,,,,,,,
−∆,melodic minor,harmonic minor,,,,,,,,,,,,
−∆7,melodic minor,harmonic minor,,,,,,,,,,,,
−∆7add2,melodic minor,harmonic minor,,,,,,,,,,,,
−∆7add4,melodic minor,harmonic minor,,,,,,,,,,,,
−∆7add6,melodic minor,,,,,,,,,,,,,
−∆9,melodic minor,harmonic minor,,,,,,,,,,,,
−11,dorian,minor pentatonic,minor blues,bebop minor,aeolian,,,,,,,,,
−13,dorian,,,,,,,,,,,,,
−6,dorian,bebop minor,melodic minor,,,,,,,,,,,
−6/9,dorian,bebop minor,,,,,,,,,,,,
−7,dorian,minor pentatonic,minor blues,bebop minor,aeolian,phrygian,,,,,,,,
−7add2,dorian,minor pentatonic,minor blues,bebop minor,aeolian,,,,,,,,,
−7add4,mixolydian,bebop dominant,,,,,,,,,,,,
−7add6,dorian,bebop minor,melodic minor,,,,,,,,,,,
−7b5,locrian,locrian #2,,,,,,,,,,,,
−7b5,locrian,locrian #2,,,,,,,,,,,,
−7dim5,locrian,locrian #2,,,,,,,,,,,,
−7o5,locrian,locrian #2,,,,,,,,,,,,
−9,dorian,minor pentatonic,minor blues,bebop minor,aeolian,,,,,,,,,
−add2,dorian,minor pentatonic,minor blues,bebop minor,aeolian,melodic minor,harmonic minor,,,,,,,
−add4,dorian,minor pentatonic,minor blues,bebop minor,aeolian,,,,,,,,,
−add6,dorian,bebop minor,melodic minor,,,,,,,,,,,
−add9,dorian,minor pentatonic,minor blues,bebop minor,aeolian,melodic minor,harmonic minor,,,,,,,
−b6,aeolian,minor pentatonic,harmonic minor,,,,,,,,,,,
−b6b9,phrygian,,,,,,,,,,,,,
−b9b6,phrygian,,,,,,,,,,,,,
−maj7,melodic minor,harmonic minor,,,,,,,,,,,,
ø,locrian,locrian #2,,,,,,,,,,,,
ø7,locrian,locrian #2,,,,,,,,,,,,
ø9,locrian #2,,,,,,,,,,,,,
ø9#2,locrian #3,,,,,,,,,,,,,
ø9+2,locrian #2,,,,,,,,,,,,,
ø11,locrian,,,,,,,,,,,,,
øb9,altered,Diminished Half-Whole,,,,,,,,,,,,
o,diminished,,,,,,,,,,,,,
o∆7,diminished,,,,,,,,,,,,,
o7,diminished,,,,,,,,,,,,,
o9,diminished,,,,,,,,,,,,,
o11,locrian #2,,,,,,,,,,,,,
oM7,diminished,,,,,,,,,,,,,
omaj7,diminished,,,,,,,,,,,,,
